Logging to ./experiments/advantage_regularized_ppo/
---------------------------------
| rollout/           |          |
|    benefit_1                | 0.72328883   |
|    bias_estimate            | 0.14505637   |
|    ep_len_mean              | 2e+03        |
|    ep_rew_mean              | 289          |
|    ep_rew_mean_B_0          | 554          |
|    ep_rew_mean_B_1          | 461          |
|    ep_rew_mean_U_0          | 440          |
|    ep_rew_mean_U_1          | 311          |
| time/                       |              |
|    fps                      | 229          |
|    iterations               | 57           |
|    time_elapsed             | 994          |
|    total_timesteps          | 228000       |
| train/                      |              |
|    approx_kl                | 0.0008356869 |
|    clip_fraction            | 0.0105       |
|    clip_range               | 0.2          |
|    entropy_loss             | -0.16        |
|    explained_variance       | 0.00191      |
|    explained_variance_B_0   | 0.0271       |
|    explained_variance_B_1   | 0.0236       |
|    explained_variance_U_0   | 0.0312       |
|    explained_variance_U_1   | 0.0298       |
|    learning_rate            | 1e-05        |
|    loss                     | 22.7         |
|    n_updates                | 560          |
|    policy_gradient_loss     | -0.00131     |
|    policy_gradient_loss_B_0 | -0.000455    |
|    policy_gradient_loss_B_1 | -0.000123    |
|    policy_gradient_loss_U_0 | -0.00122     |
|    policy_gradient_loss_U_1 | -0.00268     |
|    value_loss               | 6.35         |
|    value_loss_B_0           | 4.91         |
|    value_loss_B_1           | 4.15         |
|    value_loss_U_0           | 3.88         |
|    value_loss_U_1           | 2.26         |
----------------------------------------------
----------------------------------------------
| rollout/                    |              |
|    benefit_0                | 0.86677045   |
|    benefit_1                | 0.7349767    |
|    bias_estimate            | 0.13179374   |
|    ep_len_mean              | 2e+03        |
|    ep_rew_mean              | 295          |
|    ep_rew_mean_B_0          | 554          |
|    ep_rew_mean_B_1          | 461          |
|    ep_rew_mean_U_0          | 444          |
|    ep_rew_mean_U_1          | 313          |
| time/                       |              |
|    fps                      | 229          |
|    iterations               | 58           |
|    time_elapsed             | 1012         |
|    total_timesteps          | 232000       |
| train/                      |              |
|    approx_kl                | 0.0006416392 |
|    clip_fraction            | 0.00322      |
|    clip_range               | 0.2          |
|    entropy_loss             | -0.158       |
|    explained_variance       | 0.00304      |
|    explained_variance_B_0   | 0.0279       |
|    explained_variance_B_1   | 0.0255       |
|    explained_variance_U_0   | 0.0328       |
|    explained_variance_U_1   | 0.0401       |
|    learning_rate            | 1e-05        |
|    loss                     | 4.56         |
|    n_updates                | 570          |
|    policy_gradient_loss     | -0.000781    |
|    policy_gradient_loss_B_0 | -0.000192    |
|    policy_gradient_loss_B_1 | -0.00048     |
|    policy_gradient_loss_U_0 | -9.98e-05    |
|    policy_gradient_loss_U_1 | 0.000628     |
|    value_loss               | 5.58         |
|    value_loss_B_0           | 4.63         |
|    value_loss_B_1           | 3.4          |
|    value_loss_U_0           | 3.76         |
|    value_loss_U_1           | 2.04         |
----------------------------------------------
----------------------------------------------
| rollout/                    |              |
|    benefit_0                | 0.8697098    |
|    benefit_1                | 0.69397634   |
|    bias_estimate            | 0.17573345   |
|    ep_len_mean              | 2e+03        |
|    ep_rew_mean              | 303          |
|    ep_rew_mean_B_0          | 554          |
|    ep_rew_mean_B_1          | 461          |
|    ep_rew_mean_U_0          | 447          |
|    ep_rew_mean_U_1          | 315          |
| time/                       |              |
|    fps                      | 229          |
|    iterations               | 59           |
|    time_elapsed             | 1030         |
|    total_timesteps          | 236000       |
| train/                      |              |
|    approx_kl                | 0.0006198081 |
|    clip_fraction            | 0.00315      |
|    clip_range               | 0.2          |
|    entropy_loss             | -0.161       |
|    explained_variance       | 0.00515      |
|    explained_variance_B_0   | 0.0209       |
|    explained_variance_B_1   | 0.0257       |
|    explained_variance_U_0   | 0.0271       |
|    explained_variance_U_1   | 0.0347       |
|    learning_rate            | 1e-05        |
|    loss                     | 44.4         |
|    n_updates                | 580          |
|    policy_gradient_loss     | -0.000493    |
|    policy_gradient_loss_B_0 | -0.000286    |
|    policy_gradient_loss_B_1 | 4.44e-05     |
|    policy_gradient_loss_U_0 | -0.000925    |
|    policy_gradient_loss_U_1 | -0.00129     |
|    value_loss               | 6.49         |
|    value_loss_B_0           | 5.12         |
|    value_loss_B_1           | 3.88         |
|    value_loss_U_0           | 4.16         |
|    value_loss_U_1           | 2.28         |
----------------------------------------------
-----------------------------------------------
| rollout/                    |               |
|    benefit_0                | 0.8686093     |
|    benefit_1                | 0.7122771     |
|    bias_estimate            | 0.1563322     |
|    ep_len_mean              | 2e+03         |
|    ep_rew_mean              | 310           |
|    ep_rew_mean_B_0          | 554           |
|    ep_rew_mean_B_1          | 461           |
|    ep_rew_mean_U_0          | 451           |
|    ep_rew_mean_U_1          | 317           |
| time/                       |               |
|    fps                      | 229           |
|    iterations               | 60            |
|    time_elapsed             | 1047          |
|    total_timesteps          | 240000        |
| train/                      |               |
|    approx_kl                | 0.00016018932 |
|    clip_fraction            | 0             |
|    clip_range               | 0.2           |
|    entropy_loss             | -0.153        |
|    explained_variance       | 0.00185       |
|    explained_variance_B_0   | 0.0216        |
|    explained_variance_B_1   | 0.0262        |
|    explained_variance_U_0   | 0.0302        |
|    explained_variance_U_1   | 0.037         |
|    learning_rate            | 1e-05         |
|    loss                     | 5.47          |
|    n_updates                | 590           |
|    policy_gradient_loss     | -0.000228     |
|    policy_gradient_loss_B_0 | 8.54e-05      |
|    policy_gradient_loss_B_1 | -7.67e-06     |
|    policy_gradient_loss_U_0 | -4.58e-05     |
|    policy_gradient_loss_U_1 | -0.000516     |
|    value_loss               | 6.52          |
|    value_loss_B_0           | 5.21          |
|    value_loss_B_1           | 3.62          |
|    value_loss_U_0           | 4.3           |
|    value_loss_U_1           | 2.3           |
-----------------------------------------------
-----------------------------------------------
| rollout/                    |               |
|    benefit_0                | 0.8861721     |
|    benefit_1                | 0.71970636    |
|    bias_estimate            | 0.16646576    |
|    ep_len_mean              | 2e+03         |
|    ep_rew_mean              | 317           |
|    ep_rew_mean_B_0          | 554           |
|    ep_rew_mean_B_1          | 462           |
|    ep_rew_mean_U_0          | 455           |
|    ep_rew_mean_U_1          | 319           |
| time/                       |               |
|    fps                      | 229           |
|    iterations               | 61            |
|    time_elapsed             | 1065          |
|    total_timesteps          | 244000        |
| train/                      |               |
|    approx_kl                | 0.00058507547 |
|    clip_fraction            | 0.000422      |
|    clip_range               | 0.2           |
|    entropy_loss             | -0.143        |
|    explained_variance       | 0.00395       |
|    explained_variance_B_0   | 0.0243        |
|    explained_variance_B_1   | 0.024         |
|    explained_variance_U_0   | 0.0313        |
|    explained_variance_U_1   | 0.0377        |
|    learning_rate            | 1e-05         |
|    loss                     | 7.04          |
|    n_updates                | 600           |
|    policy_gradient_loss     | -0.000358     |
|    policy_gradient_loss_B_0 | -0.000541     |
|    policy_gradient_loss_B_1 | 0.000719      |
|    policy_gradient_loss_U_0 | 7.2e-05       |
|    policy_gradient_loss_U_1 | 0.00127       |
|    value_loss               | 5.89          |
|    value_loss_B_0           | 4.64          |
|    value_loss_B_1           | 4.07          |
|    value_loss_U_0           | 3.71          |
|    value_loss_U_1           | 2.67          |
-----------------------------------------------
-----------------------------------------------
| rollout/                    |               |
|    benefit_0                | 0.8565129     |
|    benefit_1                | 0.7329322     |
|    bias_estimate            | 0.123580694   |
|    ep_len_mean              | 2e+03         |
|    ep_rew_mean              | 324           |
|    ep_rew_mean_B_0          | 554           |
|    ep_rew_mean_B_1          | 463           |
|    ep_rew_mean_U_0          | 458           |
|    ep_rew_mean_U_1          | 321           |
| time/                       |               |
|    fps                      | 229           |
|    iterations               | 62            |
|    time_elapsed             | 1082          |
|    total_timesteps          | 248000        |
| train/                      |               |
|    approx_kl                | 0.00069877674 |
|    clip_fraction            | 0.00146       |
|    clip_range               | 0.2           |
|    entropy_loss             | -0.153        |
|    explained_variance       | 0.00469       |
|    explained_variance_B_0   | 0.0228        |
|    explained_variance_B_1   | 0.0249        |
|    explained_variance_U_0   | 0.028         |
|    explained_variance_U_1   | 0.0318        |
|    learning_rate            | 1e-05         |
|    loss                     | 20.8          |
|    n_updates                | 610           |
|    policy_gradient_loss     | -0.000423     |
|    policy_gradient_loss_B_0 | -0.000237     |
|    policy_gradient_loss_B_1 | -0.000298     |
|    policy_gradient_loss_U_0 | -0.000988     |
|    policy_gradient_loss_U_1 | -0.00111      |
|    value_loss               | 7.02          |
|    value_loss_B_0           | 4.64          |
|    value_loss_B_1           | 3.9           |
|    value_loss_U_0           | 3.61          |
|    value_loss_U_1           | 2.42          |
-----------------------------------------------
----------------------------------------------
| rollout/                    |              |
|    benefit_0                | 0.8767557    |
|    benefit_1                | 0.68121564   |
|    bias_estimate            | 0.19554007   |
|    ep_len_mean              | 2e+03        |
|    ep_rew_mean              | 330          |
|    ep_rew_mean_B_0          | 554          |
|    ep_rew_mean_B_1          | 463          |
|    ep_rew_mean_U_0          | 461          |
|    ep_rew_mean_U_1          | 323          |
| time/                       |              |
|    fps                      | 228          |
|    iterations               | 63           |
|    time_elapsed             | 1100         |
|    total_timesteps          | 252000       |
| train/                      |              |
|    approx_kl                | 0.0006118622 |
|    clip_fraction            | 0.000347     |
|    clip_range               | 0.2          |
|    entropy_loss             | -0.15        |
|    explained_variance       | 0.00486      |
|    explained_variance_B_0   | 0.0101       |
|    explained_variance_B_1   | 0.0283       |
|    explained_variance_U_0   | 0.0165       |
|    explained_variance_U_1   | 0.038        |
|    learning_rate            | 1e-05        |
|    loss                     | 13.6         |
|    n_updates                | 620          |
|    policy_gradient_loss     | -0.000368    |
|    policy_gradient_loss_B_0 | -0.000242    |
|    policy_gradient_loss_B_1 | 1.46e-05     |
|    policy_gradient_loss_U_0 | 0.00046      |
|    policy_gradient_loss_U_1 | 0.000238     |
|    value_loss               | 6.31         |
|    value_loss_B_0           | 4.54         |
|    value_loss_B_1           | 3.97         |
|    value_loss_U_0           | 3.41         |
|    value_loss_U_1           | 2.55         |
----------------------------------------------
-----------------------------------------------
| rollout/                    |               |
|    benefit_0                | 0.877505      |
|    benefit_1                | 0.7358586     |
|    bias_estimate            | 0.14164639    |
|    ep_len_mean              | 2e+03         |
|    ep_rew_mean              | 337           |
|    ep_rew_mean_B_0          | 554           |
|    ep_rew_mean_B_1          | 464           |
|    ep_rew_mean_U_0          | 464           |
|    ep_rew_mean_U_1          | 325           |
| time/                       |               |
|    fps                      | 228           |
|    iterations               | 64            |
|    time_elapsed             | 1118          |
|    total_timesteps          | 256000        |
| train/                      |               |
|    approx_kl                | 0.00092682836 |
|    clip_fraction            | 0.00471       |
|    clip_range               | 0.2           |
|    entropy_loss             | -0.154        |
|    explained_variance       | 0.00512       |
|    explained_variance_B_0   | 0.0134        |
|    explained_variance_B_1   | 0.0319        |
|    explained_variance_U_0   | 0.0194        |
|    explained_variance_U_1   | 0.0442        |
|    learning_rate            | 1e-05         |
|    loss                     | 6.47          |
|    n_updates                | 630           |
|    policy_gradient_loss     | -0.00122      |
|    policy_gradient_loss_B_0 | -0.00127      |
|    policy_gradient_loss_B_1 | -0.00061      |
|    policy_gradient_loss_U_0 | -0.00214      |
|    policy_gradient_loss_U_1 | -0.00171      |
|    value_loss               | 6.96          |
|    value_loss_B_0           | 4.77          |
|    value_loss_B_1           | 3.69          |
|    value_loss_U_0           | 3.75          |
|    value_loss_U_1           | 2.5           |
-----------------------------------------------
-----------------------------------------------
| rollout/                    |               |
|    benefit_0                | 0.8680221     |
|    benefit_1                | 0.7007641     |
|    bias_estimate            | 0.16725796    |
|    ep_len_mean              | 2e+03         |
|    ep_rew_mean              | 342           |
|    ep_rew_mean_B_0          | 553           |
|    ep_rew_mean_B_1          | 463           |
|    ep_rew_mean_U_0          | 466           |
|    ep_rew_mean_U_1          | 327           |
| time/                       |               |
|    fps                      | 228           |
|    iterations               | 65            |
|    time_elapsed             | 1135          |
|    total_timesteps          | 260000        |
| train/                      |               |
|    approx_kl                | 0.00072576967 |
|    clip_fraction            | 0.00335       |
|    clip_range               | 0.2           |
|    entropy_loss             | -0.132        |
|    explained_variance       | 0.00289       |
|    explained_variance_B_0   | 0.0166        |
|    explained_variance_B_1   | 0.0315        |
|    explained_variance_U_0   | 0.0221        |
|    explained_variance_U_1   | 0.0347        |
|    learning_rate            | 1e-05         |
|    loss                     | 5.14          |
|    n_updates                | 640           |
|    policy_gradient_loss     | -0.000664     |
|    policy_gradient_loss_B_0 | -0.000656     |
|    policy_gradient_loss_B_1 | 0.000219      |
|    policy_gradient_loss_U_0 | -0.00108      |
|    policy_gradient_loss_U_1 | -0.000886     |
|    value_loss               | 6.54          |
|    value_loss_B_0           | 4.92          |
|    value_loss_B_1           | 3.67          |
|    value_loss_U_0           | 4.19          |
|    value_loss_U_1           | 2.25          |
-----------------------------------------------
-----------------------------------------------
| rollout/                    |               |
|    benefit_0                | 0.8678858     |
|    benefit_1                | 0.69400793    |
|    bias_estimate            | 0.1738779     |
|    ep_len_mean              | 2e+03         |
|    ep_rew_mean              | 347           |
|    ep_rew_mean_B_0          | 553           |
|    ep_rew_mean_B_1          | 463           |
|    ep_rew_mean_U_0          | 468           |
|    ep_rew_mean_U_1          | 328           |
| time/                       |               |
|    fps                      | 228           |
|    iterations               | 66            |
|    time_elapsed             | 1153          |
|    total_timesteps          | 264000        |
| train/                      |               |
|    approx_kl                | 5.2811476e-05 |
|    clip_fraction            | 0             |
|    clip_range               | 0.2           |
|    entropy_loss             | -0.129        |
|    explained_variance       | 0.0065        |
|    explained_variance_B_0   | 0.0247        |
|    explained_variance_B_1   | 0.0215        |
|    explained_variance_U_0   | 0.0304        |
|    explained_variance_U_1   | 0.035         |
|    learning_rate            | 1e-05         |
|    loss                     | 4.38          |
|    n_updates                | 650           |
|    policy_gradient_loss     | -9.45e-05     |
|    policy_gradient_loss_B_0 | -0.000125     |
|    policy_gradient_loss_B_1 | -5.09e-05     |
|    policy_gradient_loss_U_0 | -0.00019      |
|    policy_gradient_loss_U_1 | -0.000214     |
|    value_loss               | 6.76          |
|    value_loss_B_0           | 4.81          |
|    value_loss_B_1           | 3.61          |
|    value_loss_U_0           | 3.98          |
|    value_loss_U_1           | 2.42          |
-----------------------------------------------
----------------------------------------------
| rollout/                    |              |
|    benefit_0                | 0.8620456    |
|    benefit_1                | 0.7214407    |
|    bias_estimate            | 0.14060491   |
|    ep_len_mean              | 2e+03        |
|    ep_rew_mean              | 351          |
|    ep_rew_mean_B_0          | 553          |
|    ep_rew_mean_B_1          | 463          |
|    ep_rew_mean_U_0          | 470          |
|    ep_rew_mean_U_1          | 329          |
| time/                       |              |
|    fps                      | 228          |
|    iterations               | 67           |
|    time_elapsed             | 1170         |
|    total_timesteps          | 268000       |
| train/                      |              |
|    approx_kl                | 0.0008209827 |
|    clip_fraction            | 0.00176      |
|    clip_range               | 0.2          |
|    entropy_loss             | -0.135       |
|    explained_variance       | 0.00583      |
|    explained_variance_B_0   | 0.0186       |
|    explained_variance_B_1   | 0.0249       |
|    explained_variance_U_0   | 0.0238       |
|    explained_variance_U_1   | 0.0343       |
|    learning_rate            | 1e-05        |
|    loss                     | 41.1         |
|    n_updates                | 660          |
|    policy_gradient_loss     | -0.000332    |
|    policy_gradient_loss_B_0 | 0.000449     |
|    policy_gradient_loss_B_1 | -2.09e-05    |
|    policy_gradient_loss_U_0 | 0.000876     |
|    policy_gradient_loss_U_1 | 0.000626     |
|    value_loss               | 6.23         |
|    value_loss_B_0           | 4.26         |
|    value_loss_B_1           | 3.79         |
|    value_loss_U_0           | 3.48         |
|    value_loss_U_1           | 2.3          |
----------------------------------------------
-----------------------------------------------
| rollout/                    |               |
|    benefit_0                | 0.85626745    |
|    benefit_1                | 0.7288986     |
|    bias_estimate            | 0.12736887    |
|    ep_len_mean              | 2e+03         |
|    ep_rew_mean              | 355           |
|    ep_rew_mean_B_0          | 552           |
|    ep_rew_mean_B_1          | 462           |
|    ep_rew_mean_U_0          | 472           |
|    ep_rew_mean_U_1          | 329           |
| time/                       |               |
|    fps                      | 228           |
|    iterations               | 68            |
|    time_elapsed             | 1188          |
|    total_timesteps          | 272000        |
| train/                      |               |
|    approx_kl                | 0.00078557583 |
|    clip_fraction            | 0.0034        |
|    clip_range               | 0.2           |
|    entropy_loss             | -0.139        |
|    explained_variance       | 0.00368       |
|    explained_variance_B_0   | 0.0206        |
|    explained_variance_B_1   | 0.0268        |
|    explained_variance_U_0   | 0.025         |
|    explained_variance_U_1   | 0.0409        |
|    learning_rate            | 1e-05         |
|    loss                     | 5.66          |
|    n_updates                | 670           |
|    policy_gradient_loss     | -0.000476     |
|    policy_gradient_loss_B_0 | -0.000271     |
|    policy_gradient_loss_B_1 | -0.000102     |
|    policy_gradient_loss_U_0 | 0.000495      |
|    policy_gradient_loss_U_1 | 0.000817      |
|    value_loss               | 6.89          |
|    value_loss_B_0           | 4.33          |
|    value_loss_B_1           | 4.03          |
|    value_loss_U_0           | 3.67          |
|    value_loss_U_1           | 2.47          |
-----------------------------------------------
----------------------------------------------
| rollout/                    |              |
|    benefit_0                | 0.85909104   |
|    benefit_1                | 0.7310088    |
|    bias_estimate            | 0.12808222   |
|    ep_len_mean              | 2e+03        |
|    ep_rew_mean              | 360          |
|    ep_rew_mean_B_0          | 552          |
|    ep_rew_mean_B_1          | 463          |
|    ep_rew_mean_U_0          | 474          |
|    ep_rew_mean_U_1          | 331          |
| time/                       |              |
|    fps                      | 228          |
|    iterations               | 69           |
|    time_elapsed             | 1206         |
|    total_timesteps          | 276000       |
| train/                      |              |
|    approx_kl                | 0.0006294947 |
|    clip_fraction            | 0.00228      |
|    clip_range               | 0.2          |
|    entropy_loss             | -0.127       |
|    explained_variance       | 0.00687      |
|    explained_variance_B_0   | 0.035        |
|    explained_variance_B_1   | 0.02         |
|    explained_variance_U_0   | 0.041        |
|    explained_variance_U_1   | 0.0342       |
|    learning_rate            | 1e-05        |
|    loss                     | 4.95         |
|    n_updates                | 680          |
|    policy_gradient_loss     | -0.000473    |
|    policy_gradient_loss_B_0 | 0.000372     |
|    policy_gradient_loss_B_1 | 1.15e-06     |
|    policy_gradient_loss_U_0 | 0.00068      |
|    policy_gradient_loss_U_1 | 0.000398     |
|    value_loss               | 6.39         |
|    value_loss_B_0           | 5.03         |
|    value_loss_B_1           | 3.07         |
|    value_loss_U_0           | 4.24         |
|    value_loss_U_1           | 1.84         |
----------------------------------------------
----------------------------------------------
| rollout/                    |              |
|    benefit_0                | 0.8447771    |
|    benefit_1                | 0.71459615   |
|    bias_estimate            | 0.13018095   |
|    ep_len_mean              | 2e+03        |
|    ep_rew_mean              | 364          |
|    ep_rew_mean_B_0          | 552          |
|    ep_rew_mean_B_1          | 464          |
|    ep_rew_mean_U_0          | 474          |
|    ep_rew_mean_U_1          | 332          |
| time/                       |              |
|    fps                      | 228          |
|    iterations               | 70           |
|    time_elapsed             | 1223         |
|    total_timesteps          | 280000       |
| train/                      |              |
|    approx_kl                | 0.0002963797 |
|    clip_fraction            | 2.48e-05     |
|    clip_range               | 0.2          |
|    entropy_loss             | -0.123       |
|    explained_variance       | 0.00869      |
|    explained_variance_B_0   | 0.0203       |
|    explained_variance_B_1   | 0.0258       |
|    explained_variance_U_0   | 0.0293       |
|    explained_variance_U_1   | 0.0444       |
|    learning_rate            | 1e-05        |
|    loss                     | 32.6         |
|    n_updates                | 690          |
|    policy_gradient_loss     | -0.00026     |
|    policy_gradient_loss_B_0 | -0.000101    |
|    policy_gradient_loss_B_1 | 2.82e-05     |
|    policy_gradient_loss_U_0 | -0.000481    |
|    policy_gradient_loss_U_1 | -0.000294    |
|    value_loss               | 7.05         |
|    value_loss_B_0           | 5.17         |
|    value_loss_B_1           | 3.81         |
|    value_loss_U_0           | 4.21         |
|    value_loss_U_1           | 2.6          |
----------------------------------------------
-----------------------------------------------
| rollout/                    |               |
|    benefit_0                | 0.86579496    |
|    benefit_1                | 0.75871944    |
|    bias_estimate            | 0.10707551    |
|    ep_len_mean              | 2e+03         |
|    ep_rew_mean              | 369           |
|    ep_rew_mean_B_0          | 552           |
|    ep_rew_mean_B_1          | 465           |
|    ep_rew_mean_U_0          | 476           |
|    ep_rew_mean_U_1          | 333           |
| time/                       |               |
|    fps                      | 228           |
|    iterations               | 71            |
|    time_elapsed             | 1241          |
|    total_timesteps          | 284000        |
| train/                      |               |
|    approx_kl                | 0.00037035803 |
|    clip_fraction            | 0             |
|    clip_range               | 0.2           |
|    entropy_loss             | -0.124        |
|    explained_variance       | 0.00751       |
|    explained_variance_B_0   | 0.0248        |
|    explained_variance_B_1   | 0.03          |
|    explained_variance_U_0   | 0.0374        |
|    explained_variance_U_1   | 0.0488        |
|    learning_rate            | 1e-05         |
|    loss                     | 6.98          |
|    n_updates                | 700           |
|    policy_gradient_loss     | -0.000556     |
|    policy_gradient_loss_B_0 | -0.000149     |
|    policy_gradient_loss_B_1 | -0.000381     |
|    policy_gradient_loss_U_0 | -0.000267     |
|    policy_gradient_loss_U_1 | 8.58e-05      |
|    value_loss               | 6.31          |
|    value_loss_B_0           | 4.37          |
|    value_loss_B_1           | 3.92          |
|    value_loss_U_0           | 3.75          |
|    value_loss_U_1           | 2.47          |
-----------------------------------------------
---------------------------------------------
| rollout/                    |             |
|    benefit_0                | 0.86123425  |
|    benefit_1                | 0.70597386  |
|    bias_estimate            | 0.15526038  |
|    ep_len_mean              | 2e+03       |
|    ep_rew_mean              | 373         |
|    ep_rew_mean_B_0          | 553         |
|    ep_rew_mean_B_1          | 465         |
|    ep_rew_mean_U_0          | 478         |
|    ep_rew_mean_U_1          | 333         |
| time/                       |             |
|    fps                      | 228         |
|    iterations               | 72          |
|    time_elapsed             | 1258        |
|    total_timesteps          | 288000      |
| train/                      |             |
|    approx_kl                | 0.000803798 |
|    clip_fraction            | 0.00067     |
|    clip_range               | 0.2         |
|    entropy_loss             | -0.122      |
|    explained_variance       | -0.00579    |
|    explained_variance_B_0   | 0.0186      |
|    explained_variance_B_1   | 0.0176      |
|    explained_variance_U_0   | 0.0179      |
|    explained_variance_U_1   | 0.0393      |
|    learning_rate            | 1e-05       |
|    loss                     | 8.8         |
|    n_updates                | 710         |
|    policy_gradient_loss     | -0.000296   |
|    policy_gradient_loss_B_0 | 6.32e-05    |
|    policy_gradient_loss_B_1 | -0.000578   |
|    policy_gradient_loss_U_0 | 0.000526    |
|    policy_gradient_loss_U_1 | -0.000123   |
|    value_loss               | 6.94        |
|    value_loss_B_0           | 4.91        |
|    value_loss_B_1           | 3.67        |
|    value_loss_U_0           | 3.93        |
|    value_loss_U_1           | 2.19        |
---------------------------------------------
----------------------------------------------
| rollout/                    |              |
|    benefit_0                | 0.8805931    |
|    benefit_1                | 0.7140684    |
|    bias_estimate            | 0.16652471   |
|    ep_len_mean              | 2e+03        |
|    ep_rew_mean              | 375          |
|    ep_rew_mean_B_0          | 554          |
|    ep_rew_mean_B_1          | 465          |
|    ep_rew_mean_U_0          | 479          |
|    ep_rew_mean_U_1          | 333          |
| time/                       |              |
|    fps                      | 228          |
|    iterations               | 73           |
|    time_elapsed             | 1276         |
|    total_timesteps          | 292000       |
| train/                      |              |
|    approx_kl                | 0.0004800712 |
|    clip_fraction            | 0.00109      |
|    clip_range               | 0.2          |
|    entropy_loss             | -0.117       |
|    explained_variance       | 0.00219      |
|    explained_variance_B_0   | 0.029        |
|    explained_variance_B_1   | 0.0261       |
|    explained_variance_U_0   | 0.0342       |
|    explained_variance_U_1   | 0.0443       |
|    learning_rate            | 1e-05        |
|    loss                     | 28.7         |
|    n_updates                | 720          |
|    policy_gradient_loss     | -0.000238    |
|    policy_gradient_loss_B_0 | 0.000246     |
|    policy_gradient_loss_B_1 | -6.87e-05    |
|    policy_gradient_loss_U_0 | -0.000346    |
|    policy_gradient_loss_U_1 | -0.000328    |
|    value_loss               | 6.88         |
|    value_loss_B_0           | 5.14         |
|    value_loss_B_1           | 3.98         |
|    value_loss_U_0           | 4.1          |
|    value_loss_U_1           | 2.35         |
----------------------------------------------
----------------------------------------------
| rollout/                    |              |
|    benefit_0                | 0.874721     |
|    benefit_1                | 0.71904      |
|    bias_estimate            | 0.15568101   |
|    ep_len_mean              | 2e+03        |
|    ep_rew_mean              | 376          |
|    ep_rew_mean_B_0          | 554          |
|    ep_rew_mean_B_1          | 464          |
|    ep_rew_mean_U_0          | 481          |
|    ep_rew_mean_U_1          | 333          |
| time/                       |              |
|    fps                      | 228          |
|    iterations               | 74           |
|    time_elapsed             | 1293         |
|    total_timesteps          | 296000       |
| train/                      |              |
|    approx_kl                | 0.0002233347 |
|    clip_fraction            | 0.000471     |
|    clip_range               | 0.2          |
|    entropy_loss             | -0.116       |
|    explained_variance       | 0.00451      |
|    explained_variance_B_0   | 0.0279       |
|    explained_variance_B_1   | 0.0152       |
|    explained_variance_U_0   | 0.037        |
|    explained_variance_U_1   | 0.0251       |
|    learning_rate            | 1e-05        |
|    loss                     | 3.99         |
|    n_updates                | 730          |
|    policy_gradient_loss     | -0.000211    |
|    policy_gradient_loss_B_0 | -0.000175    |
|    policy_gradient_loss_B_1 | -7.53e-07    |
|    policy_gradient_loss_U_0 | -0.000275    |
|    policy_gradient_loss_U_1 | -0.00053     |
|    value_loss               | 6.82         |
|    value_loss_B_0           | 5.03         |
|    value_loss_B_1           | 3.67         |
|    value_loss_U_0           | 4.3          |
|    value_loss_U_1           | 2.16         |
----------------------------------------------
-----------------------------------------------
| rollout/                    |               |
|    benefit_0                | 0.8894896     |
|    benefit_1                | 0.6880581     |
|    bias_estimate            | 0.20143151    |
|    ep_len_mean              | 2e+03         |
|    ep_rew_mean              | 378           |
|    ep_rew_mean_B_0          | 554           |
|    ep_rew_mean_B_1          | 464           |
|    ep_rew_mean_U_0          | 482           |
|    ep_rew_mean_U_1          | 333           |
| time/                       |               |
|    fps                      | 228           |
|    iterations               | 75            |
|    time_elapsed             | 1311          |
|    total_timesteps          | 300000        |
| train/                      |               |
|    approx_kl                | 0.00066695403 |
|    clip_fraction            | 0.00141       |
|    clip_range               | 0.2           |
|    entropy_loss             | -0.126        |
|    explained_variance       | 0.00807       |
|    explained_variance_B_0   | 0.0256        |
|    explained_variance_B_1   | 0.025         |
|    explained_variance_U_0   | 0.0321        |
|    explained_variance_U_1   | 0.0415        |
|    learning_rate            | 1e-05         |
|    loss                     | 6.42          |
|    n_updates                | 740           |
|    policy_gradient_loss     | -0.000376     |
|    policy_gradient_loss_B_0 | -5.04e-05     |
|    policy_gradient_loss_B_1 | 0.000561      |
|    policy_gradient_loss_U_0 | -0.000629     |
|    policy_gradient_loss_U_1 | -0.000607     |
|    value_loss               | 5.91          |
|    value_loss_B_0           | 4.92          |
|    value_loss_B_1           | 3.43          |
|    value_loss_U_0           | 4.13          |
|    value_loss_U_1           | 1.82          |
-----------------------------------------------
-----------------------------------------------
| rollout/                    |               |
|    benefit_0                | 0.868073      |
|    benefit_1                | 0.71323544    |
|    bias_estimate            | 0.15483755    |
|    ep_len_mean              | 2e+03         |
|    ep_rew_mean              | 382           |
|    ep_rew_mean_B_0          | 554           |
|    ep_rew_mean_B_1          | 466           |
|    ep_rew_mean_U_0          | 482           |
|    ep_rew_mean_U_1          | 334           |
| time/                       |               |
|    fps                      | 228           |
|    iterations               | 76            |
|    time_elapsed             | 1329          |
|    total_timesteps          | 304000        |
| train/                      |               |
|    approx_kl                | 0.00014964284 |
|    clip_fraction            | 9.92e-05      |
|    clip_range               | 0.2           |
|    entropy_loss             | -0.118        |
|    explained_variance       | 0.0033        |
|    explained_variance_B_0   | 0.0158        |
|    explained_variance_B_1   | 0.0244        |
|    explained_variance_U_0   | 0.0199        |
|    explained_variance_U_1   | 0.045         |
|    learning_rate            | 1e-05         |
|    loss                     | 5.08          |
|    n_updates                | 750           |
|    policy_gradient_loss     | -0.000312     |
|    policy_gradient_loss_B_0 | -0.000211     |
|    policy_gradient_loss_B_1 | -6.93e-06     |
|    policy_gradient_loss_U_0 | -0.000363     |
